month,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
1,192857.0,191987.285,2736.0,2899.717,2268.141,2257.909,32.178,34.102,699947.0,8.231,1662439.0,19.554,0.0,0.0,0.0,0.0,0.0,IRN,Asia,Iran,1417999.0,57959.0,16676.699,681.64,1.04,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,9285288.0,109.202,0.1184,8.9,tests performed,0.0,87299515.15694523,68635910.53152794,0.0,0.0,37.713608618433355,32.329222044568795,0.0,80.09,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,116955.7,29.12,8.51,1375.48401270347
2,213170.0,208151.0,2114.0,2095.712,2507.034,2448.008,24.863,24.649,275851.0,3.2430000000000003,1552834.0,18.263,3000.0,46460.0,547.0,46460.0,0.053,IRN,Asia,Iran,1631169.0,60073.0,19183.733,706.502,1.09,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,10734379.0,126.244,0.1423,8.4,tests performed,10000.0,87299515.15694523,68635910.53152794,0.0,0.01,37.713608618433355,32.329222044568795,0.0,81.94,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,118220.6,26.82,9.64,1390.36015578729
3,254395.0,249951.002,2592.0,2575.569,2991.869,2939.607,30.485,30.292,271847.0,3.198,1942268.0,22.843,0.0,280275.0,3301.0,166037.0,0.187,IRN,Asia,Iran,1885564.0,62665.0,22175.603,736.986,1.21,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,12821847.0,150.794,0.1397,8.6,tests performed,319890.0,87299515.15694523,68635910.53152794,0.0,0.38,37.713608618433355,32.329222044568795,0.0,83.33,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,121127.8,25.4,19.07,1424.55094017601
4,613513.0,581349.857,9093.0,8084.143,7215.358,6837.099,106.94,95.076,483352.0,5.686,2826941.0,33.246,201060.0,580968.0,6829.0,508461.0,0.602,IRN,Asia,Iran,2499077.0,71758.0,29390.961,843.926,1.63,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,15693870.0,184.571,0.2518,7.1,tests performed,1068123.0,87299515.15694523,68635910.53152794,0.0,1.26,37.713608618433355,32.329222044568795,0.0,83.33,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,133699.8,25.68,63.35,1572.40679506558
5,414059.0,446317.573,8398.0,9098.854,4869.633,5249.018,98.768,107.011,0.0,0.0,4110145.0,48.336,0.0,2616431.0,30770.0,2337496.0,2.747,IRN,Asia,Iran,2913136.0,80156.0,34260.596,942.693,0.97,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,19936548.0,234.468,0.1573,12.7,tests performed,3141577.0,87299515.15694523,68635910.53152794,0.0,3.69,37.713608618433355,32.329222044568795,0.0,81.48,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,152611.8,27.39,63.64,1794.82565663665
6,291421.0,286083.287,4108.0,4275.714,3427.322,3364.546,48.31,50.285000000000004,123901.0,1.457,3737171.0,43.952,0.0,2007371.0,23606.0,1010709.0,1.186,IRN,Asia,Iran,3204557.0,84264.0,37687.919,991.006,1.14,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,23421222.0,275.451,0.096,16.0,tests performed,5717914.0,87299515.15694523,68635910.53152794,0.0,6.72,37.713608618433355,32.329222044568795,0.0,76.39,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,160803.4,27.64,41.61,1891.16482470167
7,666451.0,617035.143,6366.0,5891.143,7837.948,7256.777,74.868,69.286,76729.0,0.902,2435384.0,28.64,0.0,5281766.0,62114.0,4214164.0,4.953,IRN,Asia,Iran,3871008.0,90630.0,45525.867,1065.875,1.38,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,25795151.0,303.37,0.4577,9.7,tests performed,10168674.0,87299515.15694523,68635910.53152794,0.0,11.96,37.713608618433355,32.329222044568795,0.0,68.06,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,168133.4,27.44,29.96,1977.37095072303
8,1121055.0,1108662.715,17164.0,16160.286,13184.422,13038.678,201.858,190.058,1199426.0,14.105,2824386.0,33.22,881127.0,14802370.0,174086.0,9740186.0,11.454,IRN,Asia,Iran,4992063.0,107794.0,58710.288,1267.736,1.22,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,28892685.0,339.799,0.5375,3.4,tests performed,27057253.0,87299515.15694523,68635910.53152794,0.0,31.82,37.713608618433355,32.329222044568795,0.0,74.54,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,202062.4,31.05,158.99,2376.40064373513
9,594977.0,650810.142,12634.0,13715.144,6997.364,7654.0,148.587,161.3,2881556.0,33.889,3316036.0,38.997,1706088.0,26108677.0,307056.0,18121790.0,21.312,IRN,Asia,Iran,5587040.0,120428.0,65707.65,1416.321,0.87,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,32196441.0,378.654,0.2886,8.1,tests performed,51950783.0,87299515.15694523,68635910.53152794,0.0,61.1,42.7,32.329222044568795,0.0,74.54,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,230300.4,33.91,120.5,2708.50004163297
10,337598.0,350551.429,5875.0,6220.143,3970.399,4122.742,69.096,73.153,1390437.0,16.352,3319866.0,39.044,0.0,32636043.0,383825.0,15785298.0,18.567,IRN,Asia,Iran,5924638.0,126303.0,69678.048,1485.415,0.99,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,35298571.0,415.137,0.1235,11.8,tests performed,85369917.0,87299515.15694523,68635910.53152794,81537.0,100.4,61.39,38.91,0.1,74.54,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,244941.7,34.25,53.82,2880.69236808816
11,192807.0,207642.0,3527.0,3705.283,2267.547,2442.022,41.479,43.577,1651731.0,19.427,3248813.0,38.21,171719.0,20144982.0,236920.0,5377051.0,6.326,IRN,Asia,Iran,6117445.0,129830.0,71945.598,1526.895,0.96,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,38763945.0,455.892,0.0886,26.1,tests performed,104781077.0,87299515.15694523,68635910.53152794,948168.0,123.23,67.49,54.71,1.12,69.91,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,250805.2,34.16,31.28,2949.65138854195
12,76956.0,83420.57,1776.0,1932.0,905.06,981.088,20.885,22.724,2174103.0,25.567,3252181.0,38.246,0.0,12485107.0,146835.0,2275922.0,2.679,IRN,Asia,Iran,6194401.0,131606.0,72850.657,1547.782,0.87,903.707952116289,24.00034151346729,4185.403598762417,167.19861822178797,-inf,-inf,-inf,-inf,41982912.0,493.75,0.0378,55.2,tests performed,116210697.0,87299515.15694523,68635910.53152794,3772199.0,136.67,69.97,60.21,4.44,65.28,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,50.79087199051022,1.5,76.68,0.783,251753.1,33.3,9.9,2960.79938129169
